140 670
0 3022 1
1 2530 1
2 5364 0
3 4817 0
4 6967 0
5 5868 1
6 6353 1
7 3461 1
8 4317 1
9 3717 1
10 3342 1
11 4761 1
12 8323 0
13 5073 0
14 6218 0
15 4849 1
16 2508 1
17 3900 1
18 3593 1
19 5711 1
20 4679 1
21 2893 1
22 5712 1
23 7421 1
24 5133 0
25 7241 0
26 6459 0
27 6324 1
28 5121 1
29 4048 1
30 5585 1
31 6798 1
32 3338 1
33 3862 1
34 3790 1
35 7276 1
36 5443 1
37 6959 1
38 5121 0
39 6345 0
40 6530 0
41 5999 0
42 6216 0
43 5377 0
44 4553 0
45 5032 1
46 3718 1
47 5009 1
48 5725 1
49 6618 1
50 6074 0
51 4869 1
52 6584 1
53 4260 0
54 3790 0
55 4521 0
56 2024 1
57 6532 1
58 6875 1
59 5960 1
60 2069 1
61 5096 1
62 7656 1
63 5663 1
64 3981 1
65 3727 1
66 6024 0
67 1990 0
68 2761 0
69 5966 0
70 3941 0
71 1500 0
72 2666 0
73 3950 0
74 6458 1
75 4416 1
76 3604 1
77 4475 1
78 5077 1
79 5097 1
80 4037 1
81 1484 1
82 5200 1
83 4935 0
84 3400 0
85 3343 1
86 5456 1
87 2787 0
88 3644 1
89 3843 1
90 3433 1
91 5940 1
92 5771 1
93 6606 1
94 3999 1
95 3048 1
96 1389 1
97 3581 0
98 2855 0
99 5442 0
100 4810 0
101 3921 1
102 1156 1
103 3414 0
104 2916 1
105 1944 0
106 4861 1
107 2669 1
108 2373 1
109 3529 1
110 2566 1
111 2648 1
112 2816 1
113 3223 1
114 288 0
115 778 1
116 3006 1
117 715 0
118 337 1
119 285 1
120 583 0
121 115 1
122 7 1
123 5 1
124 11 1
125 3 1
126 5 1
127 7 1
128 3 1
129 3 1
130 1 1
131 1 0
132 1 1
133 1 1
134 1 1
135 1 1
136 1 1
137 1 1
138 1 1
139 1 0
0 109 246
0 123 10
1 37 93
1 62 173
1 90 222
2 38 114
2 39 224
2 98 74
2 117 57
3 42 155
3 43 184
3 71 129
3 139 2
4 34 114
4 44 99
4 68 136
4 73 161
4 94 286
5 31 145
5 36 315
5 59 116
5 110 165
5 119 60
5 130 6
6 15 105
6 17 73
6 29 88
6 47 357
6 88 183
6 107 86
7 31 71
7 45 45
7 58 201
7 74 127
7 80 143
7 91 77
8 16 84
8 46 68
8 60 208
8 75 196
8 134 6
8 138 6
9 77 93
9 78 134
9 85 108
9 86 128
9 93 243
10 48 43
10 65 86
10 79 190
10 112 135
11 82 176
11 95 33
11 96 174
11 108 211
11 113 54
11 124 20
12 25 166
12 26 206
12 40 319
12 50 22
12 54 196
12 84 194
12 97 161
13 24 167
13 41 99
13 42 50
13 55 29
13 69 151
13 120 86
14 53 204
14 87 86
14 99 143
14 100 249
15 6 105
15 29 41
15 45 59
15 47 221
15 57 394
15 74 22
15 101 142
16 8 84
16 45 135
16 46 148
16 58 179
16 60 38
16 127 22
17 6 73
17 27 175
17 28 77
17 76 202
17 88 92
17 89 81
17 107 124
17 132 6
18 48 274
18 49 219
18 64 116
18 77 211
19 31 322
19 36 70
19 48 113
19 49 107
19 79 53
19 80 95
19 104 264
20 49 253
20 61 187
20 78 171
20 81 105
20 111 98
21 50 25
21 52 139
21 83 117
21 105 117
21 108 135
21 113 45
22 50 274
22 51 142
22 52 59
22 85 101
22 93 157
22 102 34
22 106 265
23 37 175
23 51 143
23 52 77
23 82 258
23 86 135
23 92 128
23 95 187
23 115 38
23 116 25
24 13 167
24 42 259
24 43 42
24 55 62
24 72 144
24 87 14
24 103 176
25 12 166
25 40 215
25 44 154
25 53 80
25 54 132
25 73 260
25 100 140
25 114 69
26 12 206
26 54 83
26 55 286
26 69 212
26 70 139
26 97 84
27 17 175
27 28 439
27 88 233
27 109 249
28 17 77
28 27 439
28 89 225
28 109 117
29 6 88
29 15 41
29 56 74
29 57 218
29 90 149
30 56 185
30 57 122
30 61 180
30 62 235
30 74 55
30 91 265
30 118 12
31 5 145
31 7 71
31 19 322
31 36 56
31 58 227
31 80 185
31 110 94
31 133 6
32 59 264
32 60 188
33 61 105
33 62 149
33 92 230
33 111 134
33 116 112
33 135 6
34 4 114
34 63 247
34 68 85
34 94 78
34 106 146
35 48 78
35 63 298
35 64 181
35 94 59
35 112 166
36 5 315
36 19 70
36 31 56
36 65 227
36 104 166
36 119 56
36 126 16
37 1 93
37 23 175
37 62 114
37 115 103
37 116 203
38 2 114
38 39 136
38 66 110
38 105 109
38 113 186
38 117 157
38 131 6
39 2 224
39 38 136
39 66 508
39 69 14
39 70 108
39 98 196
40 12 319
40 25 215
40 50 245
40 67 248
40 68 66
40 73 67
41 13 99
41 69 344
41 98 225
42 3 155
42 13 50
42 24 259
42 43 84
42 71 118
42 120 154
43 3 184
43 24 42
43 42 84
43 71 207
43 72 147
43 99 210
43 139 4
44 4 99
44 25 154
44 73 171
44 100 230
45 7 45
45 15 59
45 16 135
45 46 104
45 58 102
45 74 377
45 101 238
46 8 68
46 16 148
46 45 104
46 75 127
46 76 141
46 101 175
46 107 79
47 6 357
47 15 221
47 101 139
47 107 201
48 10 43
48 18 274
48 19 113
48 35 78
48 49 230
48 64 43
48 79 342
48 112 197
49 18 219
49 19 107
49 20 253
49 48 230
49 77 29
49 78 142
49 80 125
49 81 49
49 137 6
50 12 22
50 21 25
50 22 274
50 40 245
50 52 157
50 67 51
50 83 192
50 84 323
50 106 61
51 22 142
51 23 143
51 52 111
51 85 226
51 86 169
51 102 121
52 21 139
52 22 59
52 23 77
52 50 157
52 51 111
52 82 217
52 102 259
52 108 71
52 121 110
52 129 14
53 14 204
53 25 80
53 54 96
53 87 170
53 100 31
53 103 155
53 114 74
54 12 196
54 25 132
54 26 83
54 53 96
54 55 91
54 103 43
54 114 41
55 13 29
55 24 62
55 26 286
55 54 91
55 69 170
55 103 278
56 29 74
56 30 185
56 57 168
56 62 44
56 90 105
57 15 394
57 29 218
57 30 122
57 56 168
57 74 136
58 7 201
58 16 179
58 31 227
58 45 102
58 59 115
